"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Pages/ClassicGamePage.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Pages/ModeSelectionPage.js", "JavaScript", 15, 0, 0, 0, 2, 17
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Pages/NotFoundPage.js", "JavaScript", 27, 0, 0, 1, 3, 31
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Pages/NotFoundPage.module.css", "CSS", 0, 0, 26, 0, 1, 27
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/index.css", "CSS", 0, 0, 15, 0, 4, 19
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/index.js", "JavaScript", 19, 0, 0, 3, 3, 25
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/logo.svg", "XML", 0, 1, 0, 0, 0, 1
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/redux/game-slice.js", "JavaScript", 52, 0, 0, 0, 5, 57
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/redux/store.js", "JavaScript", 7, 0, 0, 0, 2, 9
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/redux/ui-slice.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 616, 1, 434, 9, 97, 1157
